,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]",,,
biohydrogenation,0.1105763612865422,4.1098349694070156e-06,0.0
crauste,0.08362723859807548,0.0,0.0
daisy_mamil3,0.0,0.0,0.0
daisy_mamil4,0.6522045506635177,0.32452140724013445,0.0
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,0.0,0.0,0.0
hiv,0.1689054757771407,0.0,0.0
lotka_volterra,0.054175294911110485,2.8091306249869514e-06,0.0
seir,0.21408833121971174,0.05527529479585206,0.0
vanderpol,0.0,0.0,0.0
,,,
"Searching in [0.0, 2.0]",,,
biohydrogenation,0.12330745408586116,1.5015304283013121e-05,0.0
crauste,1.207119696113837,1.0667866031879232,0.0
daisy_mamil3,0.0,0.0,0.0
daisy_mamil4,0.45146371115409917,0.03000797083888173,0.0
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,0.0,0.0,0.0
hiv,0.22902075630013052,0.0,0.0
lotka_volterra,0.19961530589380788,0.016421968287681582,0.0
seir,0.3535025412349219,0.19520334302515485,0.0
vanderpol,0.0,0.0,0.0
,,,
"Searching in [0.0, 3.0]",,,
biohydrogenation,0.2975877830635352,0.13998489999858682,0.0
crauste,0.326197683294377,0.0,0.0
daisy_mamil3,0.0003817829220876007,0.0,0.0
daisy_mamil4,0.5966507939748371,0.5442447297623578,0.0
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,0.0,0.0,0.0
hiv,0.44925760807276693,0.0,0.0
lotka_volterra,0.05484484579217945,0.004769642148192719,0.0
seir,0.3027942885874392,0.18605955005589836,0.0
vanderpol,0.0,0.0,0.0
,,,
