,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]",,,
biohydrogenation,1.1249813675308542,1.1249813675308542,0.41256835359903843
crauste,0.3317994193032297,0.3317994193032297,0.09924156139792653
daisy_mamil3,0.2920480434674488,0.2920480434674488,0.16989928813697552
daisy_mamil4,1.3122976463414917,1.3122976463414917,0.5571334370203354
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,1.238777621110964e-05,1.238777621110964e-05,7.440476190442329e-06
hiv,0.07668457362280122,0.07668457362280122,0.007759144719440394
lotka_volterra,0.43243282912515335,0.43243282912515335,0.24234130814723398
seir,0.29636042401256546,0.29636042401256546,0.14485359461807146
vanderpol,2.353233959195287e-05,2.353233959195287e-05,1.1389521640102506e-05
,,,
"Searching in [0.0, 2.0]",,,
biohydrogenation,N/A,N/A,N/A
crauste,N/A,N/A,N/A
daisy_mamil3,N/A,N/A,N/A
daisy_mamil4,N/A,N/A,N/A
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,N/A,N/A,N/A
hiv,N/A,N/A,N/A
lotka_volterra,N/A,N/A,N/A
seir,N/A,N/A,N/A
vanderpol,N/A,N/A,N/A
,,,
"Searching in [0.0, 3.0]",,,
biohydrogenation,N/A,N/A,N/A
crauste,N/A,N/A,N/A
daisy_mamil3,N/A,N/A,N/A
daisy_mamil4,N/A,N/A,N/A
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,N/A,N/A,N/A
hiv,N/A,N/A,N/A
lotka_volterra,N/A,N/A,N/A
seir,N/A,N/A,N/A
vanderpol,N/A,N/A,N/A
,,,
