,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]",,,
biohydrogenation,0.775363509878389,0.775363509878389,0.653124561142172
crauste,1.107398857881913,1.107398857881913,0.7800463820105155
daisy_mamil3,0.6661507702136669,0.6661507702136669,0.6587856265239554
daisy_mamil4,1.3030696129874497,1.3030696129874497,0.9201955742293315
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,0.39438783598657784,0.39438783598657784,0.16290245885007415
hiv,0.7517229918434529,0.7517229918434529,0.7086796165605606
lotka_volterra,0.7176417805442452,0.7176417805442452,0.642093892333617
seir,1.0029595751707583,1.0029595751707583,0.9666667884848197
vanderpol,0.4498454683229007,0.4498454683229007,0.001622050695558142
,,,
"Searching in [0.0, 2.0]",,,
biohydrogenation,N/A,N/A,N/A
crauste,N/A,N/A,N/A
daisy_mamil3,N/A,N/A,N/A
daisy_mamil4,N/A,N/A,N/A
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,N/A,N/A,N/A
hiv,N/A,N/A,N/A
lotka_volterra,N/A,N/A,N/A
seir,N/A,N/A,N/A
vanderpol,N/A,N/A,N/A
,,,
"Searching in [0.0, 3.0]",,,
biohydrogenation,N/A,N/A,N/A
crauste,N/A,N/A,N/A
daisy_mamil3,N/A,N/A,N/A
daisy_mamil4,N/A,N/A,N/A
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,N/A,N/A,N/A
hiv,N/A,N/A,N/A
lotka_volterra,N/A,N/A,N/A
seir,N/A,N/A,N/A
vanderpol,N/A,N/A,N/A
,,,
