,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]",,,
biohydrogenation,N/A,N/A,N/A
crauste,0.995560300204679,0.8526534854578192,0.5977205919370869
daisy-mamil3,inf,inf,inf
daisy-mamil4,N/A,N/A,N/A
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,0.6029512859468834,0.6029512859468834,0.5808534315010695
hiv,N/A,N/A,N/A
lotka-volterra,N/A,N/A,N/A
seir,N/A,N/A,N/A
vanderpol,N/A,N/A,N/A
,,,
"Searching in [0.0, 2.0]",,,
biohydrogenation,N/A,N/A,N/A
crauste,1.2520277570777527,1.0926083897770482,0.6618078717228566
daisy-mamil3,N/A,N/A,N/A
daisy-mamil4,N/A,N/A,N/A
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,0.6029512859468834,0.6029512859468834,0.5808534315010695
hiv,N/A,N/A,N/A
lotka-volterra,N/A,N/A,N/A
seir,N/A,N/A,N/A
vanderpol,N/A,N/A,N/A
,,,
"Searching in [0.0, 3.0]",,,
biohydrogenation,N/A,N/A,N/A
crauste,1.797459991260325,1.397766009561013,0.6623849229076862
daisy-mamil3,N/A,N/A,N/A
daisy-mamil4,N/A,N/A,N/A
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,0.5808534315010695,0.5808534315010695,0.5808534315010695
hiv,N/A,N/A,N/A
lotka-volterra,N/A,N/A,N/A
seir,N/A,N/A,N/A
vanderpol,N/A,N/A,N/A
,,,
