,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]",,,
biohydrogenation,0.0,0.0,0.0
crauste,inf,inf,0.0
daisy-mamil3,N/A,N/A,N/A
daisy-mamil4,N/A,N/A,N/A
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,0.0,0.0,0.0
hiv,0.0,0.0,0.0
lotka-volterra,N/A,N/A,N/A
seir,0.0,0.0,0.0
vanderpol,0.0,0.0,0.0
,,,
"Searching in [0.0, 2.0]",,,
biohydrogenation,0.0,0.0,0.0
crauste,0.0,0.0,0.0
daisy-mamil3,N/A,N/A,N/A
daisy-mamil4,N/A,N/A,N/A
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,0.0,0.0,0.0
hiv,0.0,0.0,0.0
lotka-volterra,N/A,N/A,N/A
seir,0.0,0.0,0.0
vanderpol,0.0,0.0,0.0
,,,
"Searching in [0.0, 3.0]",,,
biohydrogenation,0.0,0.0,0.0
crauste,0.0,0.0,0.0
daisy-mamil3,N/A,N/A,N/A
daisy-mamil4,N/A,N/A,N/A
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,0.0,0.0,0.0
hiv,0.0,0.0,0.0
lotka-volterra,N/A,N/A,N/A
seir,0.0,0.0,0.0
vanderpol,0.0,0.0,0.0
,,,
