,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]"
biohydrogenation,inf,1.2671166488968693,0.5477061155751816
crauste,0.9791760227203143,0.8985363066744319,0.274090644780202
daisy-mamil3,0.7541973784050686,0.5002988195373157,0.09875250906257667
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,4.914261739763978e-09,3.286568256004546e-09,6.3025026908693e-12
hiv,0.8582408509919027,0.6299151556894939,0.1813770803064681
lotka-volterra,0.649392385826886,0.42493884845431285,0.04262852405811471
seir,0.3508651193156153,0.2836425129403076,0.07415861660789523
vanderpol,6.740497637079931e-09,4.442615575388704e-09,2.3231792686614995e-10
,,,
"Searching in [0.0, 2.0]"
biohydrogenation,inf,inf,inf
crauste,inf,1.4331945589670305,0.3241554391132101
daisy-mamil3,0.7622455096300185,0.5231498457837005,0.16834273927063992
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,1.4301839638596049e-08,5.569049225403416e-09,1.780404622342165e-10
hiv,0.9774613692340742,0.9822382434496947,0.19598794081221635
lotka-volterra,0.9310481918455581,0.7558556284719627,0.07681581775882206
seir,0.623393986083768,0.5168574661209984,0.19577068173648446
vanderpol,7.656684939491435e-08,6.4659061228543754e-09,9.197248238985324e-10
,,,
"Searching in [0.0, 3.0]"
biohydrogenation,inf,inf,inf
crauste,inf,1.8374086444629132,1.1414895288695648
daisy-mamil3,0.7781541582254058,0.5380941830275984,0.09382017021748111
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,1.0167413278163195e-08,4.738461953183852e-10,2.7148167191110516e-11
hiv,1.1488121106079465,1.2434456560223457,0.20662250017365325
lotka-volterra,1.2846422578354475,1.0962917970102022,0.25528516695384035
seir,1.1164272158378394,1.0514304550746139,0.316636216377662
vanderpol,2.646381875748787e-08,8.221299977481676e-09,1.7727595068095663e-09
,,,
