,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]",,,
biohydrogenation,inf,inf,inf
crauste,0.5988824193321514,0.5988824193321514,0.28369389983698245
daisy_mamil3,0.21533051154663857,0.21533051154663857,0.11286268503598643
daisy_mamil4,inf,inf,inf
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,1.0262270468378144e-09,1.0262270468378144e-09,8.607176067833755e-10
hiv,0.9194062110603536,0.9194062110603536,0.18006187325802647
lotka_volterra,0.17455830172892772,0.17455830172892772,0.14354898655976475
seir,0.3106938411452073,0.3106938411452073,0.08362013373508574
vanderpol,2.9931815052395984e-09,2.9931815052395984e-09,2.129727243476303e-09
,,,
"Searching in [0.0, 2.0]",,,
biohydrogenation,N/A,N/A,N/A
crauste,N/A,N/A,N/A
daisy_mamil3,N/A,N/A,N/A
daisy_mamil4,N/A,N/A,N/A
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,N/A,N/A,N/A
hiv,N/A,N/A,N/A
lotka_volterra,N/A,N/A,N/A
seir,N/A,N/A,N/A
vanderpol,N/A,N/A,N/A
,,,
"Searching in [0.0, 3.0]",,,
biohydrogenation,N/A,N/A,N/A
crauste,N/A,N/A,N/A
daisy_mamil3,N/A,N/A,N/A
daisy_mamil4,N/A,N/A,N/A
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,N/A,N/A,N/A
hiv,N/A,N/A,N/A
lotka_volterra,N/A,N/A,N/A
seir,N/A,N/A,N/A
vanderpol,N/A,N/A,N/A
,,,
