,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]",,,
biohydrogenation,inf,1.3631803277571901,0.7093629768886835
crauste,1.473030222111928,1.4751236660101985,0.5747724855683912
daisy-mamil3,0.9889811437291882,0.7478699927525385,0.4536212484646823
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,inf,0.7803095942545633,0.3668423462157187
harmonic,0.009457181667873538,0.007168320950719007,0.0022531437549620655
hiv,0.9559936136223972,0.7670054287110706,0.33950120122544397
lotka-volterra,0.649392385826886,0.42493884845431285,0.04262852405811471
seir,0.3508651193156153,0.2836425129403076,0.07415861660789523
vanderpol,8.602334273672068e-09,4.446153149267932e-09,2.3231792686614995e-10
,,,
"Searching in [0.0, 2.0]",,,
biohydrogenation,inf,inf,1.5977932702813633
crauste,inf,3.08442677311923,0.9733364700786501
daisy-mamil3,1.0785684064110257,0.9324810385781188,0.5418393265509698
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,inf,1.6034463237273529,0.5672019950924926
harmonic,0.009457189190450781,0.007168323770113907,0.0022531419939126715
hiv,1.6867269266910476,1.6933146060847541,0.36253554169689345
lotka-volterra,0.9310481918455581,0.7558556284719627,0.07681581775882206
seir,0.623393986083768,0.5168574661209984,0.19577068173648446
vanderpol,1.2989464881911165e-07,6.885044905253056e-09,9.197248238985324e-10
,,,
"Searching in [0.0, 3.0]",,,
biohydrogenation,inf,inf,inf
crauste,inf,3.8770581755692697,1.1739454393206357
daisy-mamil3,1.3212674693771904,1.2625437320652702,0.5319229029496597
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,inf,1.7936235965645317,0.5672019911542416
harmonic,0.009457191409917298,0.007168321989926855,0.002253141586874236
hiv,2.077611549378365,1.7784922729641837,0.33839672796108655
lotka-volterra,1.2846422578354475,1.0962917970102022,0.25528516695384035
seir,1.1164272158378394,1.0514304550746139,0.316636216377662
vanderpol,2.4118290057299047e-08,7.395443709053641e-09,1.7727595068095663e-09
,,,
