,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]",,,
biohydrogenation,inf,inf,0.6330514131273585
crauste,0.9784677443680547,0.9000904245671805,0.27406531391127237
daisy-mamil3,0.7616766881688176,0.49958655288189957,0.0979259624654786
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,0.3587828216719291,0.21132830150495646,0.008935676519616895
harmonic,7.549305127778118e-09,6.951463841189458e-09,1.659322365054193e-09
hiv,0.8527436267499834,0.629757783384429,0.18159495242275792
lotka-volterra,0.6523181117374572,0.4288767623909103,0.04131441293150871
seir,0.346395226409595,0.25803773579129363,0.07415628393006922
vanderpol,4.592876250078529e-08,2.1241186145197175e-08,3.728883695263109e-09
,,,
"Searching in [0.0, 2.0]",,,
biohydrogenation,inf,inf,0.9165474360959958
crauste,inf,1.4100910051335078,0.3815278371409132
daisy-mamil3,0.7603373221013152,0.5230569988837418,0.1602544441592493
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,0.4199452028234975,0.21232016369408546,0.005379772079221388
harmonic,2.2682296194813693e-08,1.0154982505179113e-08,3.61036607250472e-09
hiv,0.9051468682581871,0.7687443480180031,0.19578777754938506
lotka-volterra,0.9912619016182231,0.7608057396209766,0.10297422368184175
seir,0.6239874181067744,0.5168247766749764,0.1895327128907449
vanderpol,9.589455624614006e-08,1.8634486464999084e-08,4.165542149786947e-09
,,,
"Searching in [0.0, 3.0]",,,
biohydrogenation,inf,inf,1.5490290620455145
crauste,inf,2.154930351209496,1.1343332866526015
daisy-mamil3,0.779170879481785,0.5984946370172237,0.09448867808388905
daisy-mamil4,inf,inf,inf
fitzhugh-nagumo,0.3480189015921881,0.21154266544018963,0.004273322877001248
harmonic,8.30763506606599e-09,8.040365898879923e-09,1.4732466847738077e-09
hiv,1.1084147185977768,1.222089797174344,0.2231649517602768
lotka-volterra,1.2862930020808208,1.1496856937153366,0.22444083166401196
seir,1.1010342128347297,1.069422989663562,0.2517477662227572
vanderpol,2.768202450354131e-07,3.721831305991675e-08,3.793503390178174e-09
,,,
