,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]",,,
biohydrogenation,0.060288333522955505,0.060288333522955505,0.0
crauste,0.0,0.0,0.0
daisy_mamil3,0.0,0.0,0.0
daisy_mamil4,1.266562935051197,1.266562935051197,0.3637176373368148
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,0.0,0.0,0.0
hiv,0.0,0.0,0.0
lotka_volterra,0.0,0.0,0.0
seir,inf,inf,inf
vanderpol,N/A,N/A,N/A
,,,
"Searching in [0.0, 2.0]",,,
biohydrogenation,N/A,N/A,N/A
crauste,N/A,N/A,N/A
daisy_mamil3,N/A,N/A,N/A
daisy_mamil4,N/A,N/A,N/A
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,N/A,N/A,N/A
hiv,N/A,N/A,N/A
lotka_volterra,N/A,N/A,N/A
seir,N/A,N/A,N/A
vanderpol,N/A,N/A,N/A
,,,
"Searching in [0.0, 3.0]",,,
biohydrogenation,N/A,N/A,N/A
crauste,N/A,N/A,N/A
daisy_mamil3,N/A,N/A,N/A
daisy_mamil4,N/A,N/A,N/A
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,N/A,N/A,N/A
hiv,N/A,N/A,N/A
lotka_volterra,N/A,N/A,N/A
seir,N/A,N/A,N/A
vanderpol,N/A,N/A,N/A
,,,
