,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]",,,
biohydrogenation,0.0,0.0,0.0
crauste,inf,0.0,0.0
daisy-mamil3,0.0,0.0,0.0
daisy-mamil4,0.0017564588791111424,0.0,0.0
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,0.0,0.0,0.0
hiv,0.0,0.0,0.0
lotka-volterra,0.0,0.0,0.0
seir,0.0,0.0,0.0
vanderpol,0.0,0.0,0.0
,,,
"Searching in [0.0, 2.0]",,,
biohydrogenation,0.0,0.0,0.0
crauste,0.0,0.0,0.0
daisy-mamil3,0.0,0.0,0.0
daisy-mamil4,0.21869728215566908,0.0,0.0
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,0.0,0.0,0.0
hiv,0.0,0.0,0.0
lotka-volterra,0.0,0.0,0.0
seir,0.0,0.0,0.0
vanderpol,0.0,0.0,0.0
,,,
"Searching in [0.0, 3.0]",,,
biohydrogenation,0.0,0.0,0.0
crauste,0.0,0.0,0.0
daisy-mamil3,0.0,0.0,0.0
daisy-mamil4,0.0017564588791111424,0.0,0.0
fitzhugh-nagumo,N/A,N/A,N/A
harmonic,0.0,0.0,0.0
hiv,0.0,0.0,0.0
lotka-volterra,0.0,0.0,0.0
seir,0.0,0.0,0.0
vanderpol,0.0,0.0,0.0
,,,
