,RMSRE mean,RMSRE median,RMSRE min
"Searching in [0.0, 1.0]",,,
biohydrogenation,inf,inf,0.1660345933502931
crauste,0.5973066789573407,0.5973066789573407,0.28452891735666863
daisy_mamil3,0.2160456319350517,0.2160456319350517,0.11425817536204104
daisy_mamil4,inf,inf,inf
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,5.067507447475296e-12,5.067507447475296e-12,3.966986332750566e-12
hiv,0.8350870756662702,0.8350870756662702,0.18006308324342093
lotka_volterra,0.1690536696771941,0.1690536696771941,0.13242398644049824
seir,0.3144697986127556,0.3144697986127556,0.09119839318864845
vanderpol,4.597119506744951e-11,4.597119506744951e-11,1.3440831984585421e-11
,,,
"Searching in [0.0, 2.0]",,,
biohydrogenation,N/A,N/A,N/A
crauste,N/A,N/A,N/A
daisy_mamil3,N/A,N/A,N/A
daisy_mamil4,N/A,N/A,N/A
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,N/A,N/A,N/A
hiv,N/A,N/A,N/A
lotka_volterra,N/A,N/A,N/A
seir,N/A,N/A,N/A
vanderpol,N/A,N/A,N/A
,,,
"Searching in [0.0, 3.0]",,,
biohydrogenation,N/A,N/A,N/A
crauste,N/A,N/A,N/A
daisy_mamil3,N/A,N/A,N/A
daisy_mamil4,N/A,N/A,N/A
fitzhugh_nagumo,N/A,N/A,N/A
harmonic,N/A,N/A,N/A
hiv,N/A,N/A,N/A
lotka_volterra,N/A,N/A,N/A
seir,N/A,N/A,N/A
vanderpol,N/A,N/A,N/A
,,,
